8654|71|304|2|2|1|1433|1|1|4|-1|-1||10067||1|0||completely grazed by cattle|04-02-2004|11187|||sea level||a spreading herb||abundant|sandy, dry, full sun||flowering, fruiting|one flower in bud|||
2|53|89|2|2|7|3604|2|1|3|-1|-1|-1|1||3|0|0|frequent along roadsides, 2 km before Dhanikari|11-02-1995|803, 2034, 4347|||sea|climber|a vine with twining stem; inflorescence axillary||frequent|marshy|glossy green above, paler  beneath||pinkish white with dark pink throat|||littoral and swamp
3|53|89|2|2|7|2|2|1|3|-1|-1||2||3|0|FRLHT 1|locally frequent|11-02-1995|799, 2033, 4345|||sea|climber|||frequent|marshy||flowering|bluish violet, darker throats|||littoral and swamp
4|166|89|2|2|7|3|1|1|3|-1|-1||3||3|0|0|locally frequent along roadsides and other disturbed areas; collected along the main road from Port Blair to Wandoor, 2 km before Dhanikari|11-02-1995|807, 2254, 4284|||sea|herb|a herb with a tap root and greenish stem||frequent|in wet soil|||bluish-violet|||
5|14|117|2|2|7|3571|3|1|3|-1|-1||4||2|0|FRLHT 2|growing in a silted creek, just East of the ANET base; a frequent mangal componentstem covered with epiphytes|11-02-1995|798, 1972|'12°36''27'''' N'|'92°38''50'''' E'|sea||a shrub with copious milky latex||frequent|marshy|shiny above|flowering, fruiting|white, faintly fragrant|drupe, green and shiny, turning red before falling, globose||littoral and swamp
6|39|117|2|2|7|5|3|1|3|-1|-1||5||3|0|0|ANET, East of base, in the Heritiera littoralis-Pongamia pinnata communitygrowing in black clayey soil with a smooth texture|11-02-1995|793, 2100, 4123|'12°36''27" N'|'92°38''50" E'|sea level|liana|a liana with greyish bark; inflorescence in axillary clusters|associated with Mangal ecotonal species|occasional|marshy|shiny above||greenish-yellow with a mild and pleasant fragrance|oblong, orange when ripe||littoral and swamp
7|265|117|2|2|7|6|2|1|3|-1|-1|-1|6||3|0|FRLHT 1|ANET, East of base, in the Heritiera littoralis - Pongamia pinnata community; always growing on little mounds; abundant in places;black clayey soil with a smooth texture|11-02-1995|788, 814, 4242|'12°36''27'''' N'|'92°38''50'''' E'|sea level|herb|an almost stemless fern|Mangal ecotone zone|frequent|marshy|coriaceous, from 1.08 - 2.25 cm long, leaflets from 15 - 42 cm long; separate male and female fronds|||||littoral and swamp
8|14|117|2|2|7|7|3|1|3|-1|-1|-1|7||3|1||in silted creek East of ANET base, in the Heritiera littoralis - Pongamia pinnata community;  frequent on mangals|11-02-1995|790, 1982, 4501|'12°36''27'''' N'|'92°38''50'''' E'|sea|epiphyte|an epiphyte with fibrous roots and copious milky latex|growing on Heritiera littoralis|frequent|marshy|succulent||white|||littoral and swamp
9|14|117|2|2|7|3675|3|1|3|-1|-1||8||3|0|0|growing in a silted creek East of ANET base, in the Heritiera littoralis - Pongamia pinnata community; frequent on mangal plants|11-02-1995|786, 1982, 4500|'12°36''27'''' N'|'92°38''50'''' E'|sea|epiphyte|hanging epiphyte; root fibrous; copious milky latex|on Cerbera odollam|frequent|marshy|succulent, 3-nerved, green and red|||||littoral and swamp
10|105|112|2|2|7|9|1|1|3|-1|-1||9||3|0|0||13-02-1995|787, 2123, 4157|||sea|herb||among roadside weeds|frequent||||pink|hooked capsule, 5-segmented||
11|53|117|2|2|7|10|1|1|3|-1|-1||11||3|0|0|growing right on the beach in fine white sand, an efficient sand binderNorth of ANET base|13-02-1995|791, 2035, 4348|'12°36'' N'|'92°39'' E'|sea|vine|prostrate vine, rooting at the nodes||frequent|on sand|||pale purple|capsule||
12|71|117|2|2|7|11|1|1|3|-1|-1||12||3|0|0|North of ANET base, to the West along the coast, just above the high tide water mark in fine white sandleaves often with galls|13-02-1995|797, 2085, 4107|'12°36'' N'|'92°39'' E'|sea|tree|||frequent|coastal|||cream-white, pale rose inside|pod||
